    66    0.17779E+04    0.26785E+00   -0.41446E+01    0.55224E+07    0.10490E+05
    67    0.18018E+04    0.27963E+00   -0.45430E+01    0.54927E+07    0.10332E+05
    68    0.18258E+04    0.29166E+00   -0.49528E+01    0.54627E+07    0.10132E+05
    69    0.18500E+04    0.30393E+00   -0.53740E+01    0.54326E+07    0.99047E+04
    70    0.18744E+04    0.31643E+00   -0.58069E+01    0.54024E+07    0.96755E+04
    71    0.18990E+04    0.32914E+00   -0.62516E+01    0.53720E+07    0.94660E+04
    72    0.19239E+04    0.34206E+00   -0.67080E+01    0.53415E+07    0.92780E+04
    73    0.19491E+04    0.35517E+00   -0.71758E+01    0.53109E+07    0.91085E+04
    74    0.19745E+04    0.36848E+00   -0.76547E+01    0.52803E+07    0.89546E+04
    75    0.20002E+04    0.38196E+00   -0.81446E+01    0.52495E+07    0.88133E+04
    76    0.20261E+04    0.39561E+00   -0.86451E+01    0.52187E+07    0.86816E+04
    77    0.20522E+04    0.40942E+00   -0.91561E+01    0.51878E+07    0.85565E+04
    78    0.20786E+04    0.42338E+00   -0.96773E+01    0.51570E+07    0.84350E+04
    79    0.21053E+04    0.43749E+00   -0.10208E+02    0.51260E+07    0.83142E+04
    80    0.21321E+04    0.45173E+00   -0.10749E+02    0.50951E+07    0.81910E+04
    81    0.21592E+04    0.46610E+00   -0.11300E+02    0.50642E+07    0.80632E+04
    82    0.21866E+04    0.48058E+00   -0.11859E+02    0.50333E+07    0.79313E+04
    83    0.22141E+04    0.49516E+00   -0.12427E+02    0.50024E+07    0.77963E+04
    84    0.22419E+04    0.50983E+00   -0.13003E+02    0.49715E+07    0.76596E+04
    85    0.22699E+04    0.52458E+00   -0.13587E+02    0.49408E+07    0.75222E+04
    86    0.22982E+04    0.53938E+00   -0.14179E+02    0.49100E+07    0.73853E+04
    87    0.23267E+04    0.55424E+00   -0.14778E+02    0.48794E+07    0.72502E+04
    88    0.23554E+04    0.56913E+00   -0.15383E+02    0.48488E+07    0.71179E+04
    89    0.23844E+04    0.58404E+00   -0.15994E+02    0.48184E+07    0.69897E+04
    90    0.24135E+04    0.59897E+00   -0.16611E+02    0.47881E+07    0.68668E+04
    91    0.24429E+04    0.61389E+00   -0.17234E+02    0.47579E+07    0.67499E+04
    92    0.24726E+04    0.62879E+00   -0.17862E+02    0.47278E+07    0.66388E+04
    93    0.25024E+04    0.64366E+00   -0.18493E+02    0.46979E+07    0.65329E+04
    94    0.25325E+04    0.65849E+00   -0.19129E+02    0.46681E+07    0.64316E+04
    95    0.25628E+04    0.67326E+00   -0.19769E+02    0.46385E+07    0.63342E+04
    96    0.25934E+04    0.68796E+00   -0.20411E+02    0.46090E+07    0.62401E+04
    97    0.26241E+04    0.70257E+00   -0.21056E+02    0.45796E+07    0.61487E+04
    98    0.26551E+04    0.71707E+00   -0.21703E+02    0.45503E+07    0.60595E+04
    99    0.26863E+04    0.73146E+00   -0.22352E+02    0.45212E+07    0.59717E+04
